titles,details
Volkswagen up! Kamera*Tempomat*Sitzheizung*LED*Bluetooth,EZ 03/2020 • 170.300 km • 44 kW (60 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline BMT/Start-Stopp,EZ 07/2014 • 176.923 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Variant 1.0 TSI 116pk Comfortline -NAVI-ECC,EZ 02/2017 • 185.672 km • 85 kW (116 PS) • Benzin
Volkswagen up! move up! BMT/Start-Stopp,Unfallfrei • EZ 09/2019 • 170.000 km • 44 kW (60 PS) • Benzin
Ford Focus 1.5 EB Cool&Connect Navi SHZ PDC DAB,EZ 06/2019 • 152.231 km • 110 kW (150 PS) • Benzin
Ford Grand C-Max * Parkassist.* Bi-Xenon * Lenkradhz.,EZ 07/2015 • 156.729 km • 110 kW (150 PS) • Benzin
Volkswagen Golf VI Variant XENON Navi AUTOMATIK Sitzhz Alus,Unfallfrei • EZ 05/2012 • 195.891 km • 103 kW (140 PS) • Diesel
Volkswagen Beetle 1.2 TSI Sitzheizung Klima Tempomat USB,EZ 09/2012 • 158.670 km • 77 kW (105 PS) • Benzin
Ford Focus Turnier 1.5 TDCi Start&Stopp Business,EZ 11/2018 • 151.784 km • 88 kW (120 PS) • Diesel
Opel Grandland (X)-Navi-KEY-LED-SHZ-19 Zoll,Unfallfrei • EZ 12/2017 • 154.000 km • 96 kW (131 PS) • Benzin
Volkswagen Touran 1.4 TSI DSG CUP Navi.,Unfallfrei • EZ 08/2014 • 167.000 km • 103 kW (140 PS) • Benzin
Volkswagen Polo V 1.0 TSI Trendline - KLIMA - 8fach bereift,Reparierter Unfallschaden • EZ 02/2016 • 168.500 km • 44 kW (60 PS) • Benzin
Ford Kuga Sync Edition,Unfallfrei • EZ 04/2016 • 152.000 km • 88 kW (120 PS) • Benzin
Volkswagen Golf VII Variant Highline BMT*Automatik*1.4*Top*,Unfallfrei • EZ 08/2014 • 182.000 km • 92 kW (125 PS) • Benzin
"Volkswagen Golf VII Variant 2.0 TDI Sound ,Navi,SHZ,MFL,App",Unfallfrei • EZ 12/2017 • 190.000 km • 110 kW (150 PS) • Diesel
Volkswagen Golf VII Lim. Trendline BMT,Unfallfrei • EZ 08/2013 • 170.000 km • 77 kW (105 PS) • Benzin
Audi A1 Sportback attraction/Euro 5,EZ 06/2013 • 153.097 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Variant Comfortline BMT 4Motion,EZ 02/2015 • 172.180 km • 77 kW (105 PS) • Diesel
Volkswagen Passat CC Standhzg. AHK el. Sitze Klimaaut. PDC,EZ 09/2011 • 153.000 km • 103 kW (140 PS) • Diesel
Mercedes-Benz C 180 T CGI* TÜV NEU*NAVI*12 Monate Garantie,EZ 09/2012 • 156.800 km • 115 kW (156 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT.2.0 TDI/Automatik,EZ 11/2014 • 177.000 km • 110 kW (150 PS) • Diesel
"Peugeot 2008 Allure,Panorama,Leder,Kamera.Euro6",EZ 03/2017 • 150.000 km • 96 kW (131 PS) • Benzin
Mercedes-Benz A 180 A -Klasse A 180 BlueEfficiency,Unfallfrei • EZ 07/2014 • 169.239 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT NAVI PDC 1.Hand,EZ 08/2015 • 175.000 km • 81 kW (110 PS) • Diesel
Volkswagen Golf 2.0 TDI Match Verkauf nur an Gewerbe,EZ 10/2012 • 163.173 km • 103 kW (140 PS) • Diesel
"Ford Focus 1,0 EB 92kW*SYNC II*PDC*SHZ/LHZ*",EZ 01/2018 • 151.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf 1.4 TSI 90 kW Cabriolet -,Unfallfrei • EZ 05/2013 • 171.680 km • 90 kW (122 PS) • Benzin
BMW 116*5TÜRIG*KLIMA*PDC*MOD:2015*EURO6!,Unfallfrei • EZ 12/2014 • 165.000 km • 100 kW (136 PS) • Benzin
Volkswagen Golf Lim. Match 5trg PDC Klima Sitzh T-Leder ALU,EZ 07/2012 • 155.000 km • 77 kW (105 PS) • Diesel
Audi A3 Sportback attraction NAVI/XENON/PDC/SHZ,EZ 09/2013 • 159.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VI Match PDC/Teilleder/Scheckheft/SHZ/ALU,Unfallfrei • EZ 09/2012 • 157.000 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VI Variant Comf.*Klima*PDC*SHZ*TÜV*TOP,EZ 09/2010 • 155.000 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VII Variant Trendline DSG*LED*Klimaautomati,EZ 06/2018 • 189.875 km • 85 kW (116 PS) • Diesel
Volkswagen Golf Plus Match Standheizung AHK PDC 8 Fachberei,Unfallfrei • EZ 10/2012 • 152.000 km • 90 kW (122 PS) • Benzin
"Volkswagen Caddy Kasten 1,6 TDI TEMPOMAT SCHIEBETÜR TÜV NEU",Unfallfrei • EZ 02/2014 • 165.500 km • 75 kW (102 PS) • Diesel
"Volkswagen Golf VII Lim. Cup BMT Park Assist AHK 18"" ALU",EZ 07/2014 • 174.474 km • 77 kW (105 PS) • Diesel
Volkswagen Golf 1.4 DSG Comfortline Navi Sitzhzg. PDC BMT,EZ 06/2013 • 169.000 km • 90 kW (122 PS) • Benzin
BMW 118d/STEUERKETTE NEU!/BI-XENON/SHZ/TEMP/PDC/NAVI,Unfallfrei • EZ 07/2015 • 169.000 km • 105 kW (143 PS) • Diesel
Volkswagen Caddy Kasten/Kombi Roncalli*AHK*7-SITZER*SHZ*PDC,Unfallfrei • EZ 06/2012 • 152.300 km • 77 kW (105 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT,Unfallfrei • EZ 08/2013 • 169.000 km • 63 kW (86 PS) • Benzin
Volkswagen Polo V Highline Automatik Sitzheizung PDC Navi,EZ 02/2012 • 150.000 km • 77 kW (105 PS) • Benzin
Kia cee'd Sportswagon GT-Line*PANO*NAVI*SHZ*PDC*XEN*,Unfallfrei • EZ 04/2017 • 158.000 km • 100 kW (136 PS) • Diesel
Volkswagen Golf VI Plus Style BMT,Unfallfrei • EZ 09/2011 • 152.500 km • 77 kW (105 PS) • Benzin
Opel Astra K Lim. 5-trg. Edition-2.Hand-,Unfallfrei • EZ 04/2017 • 150.000 km • 70 kW (95 PS) • Diesel
Skoda Fabia Combi Soleil 1.0 LED NAVI,Unfallfrei • EZ 01/2019 • 151.000 km • 55 kW (75 PS) • Benzin
Mercedes-Benz Sprinter,Unfallfrei • EZ 08/2013 • 157.000 km • 70 kW (95 PS) • Diesel
Volkswagen Polo V Comfortline BMT/Start-Stopp,Unfallfrei • EZ 06/2017 • 170.927 km • 66 kW (90 PS) • Diesel
Mercedes-Benz B 200 c NGD°CNG Gas°Navi°Leder°Automatik°Kamera°,Unfallfrei • EZ 10/2015 • 178.108 km • 115 kW (156 PS) • Benzin
Volkswagen Golf VII 1.4 TSI Variant Allstar NR 35215,Unfallfrei • EZ 07/2016 • 196.000 km • 92 kW (125 PS) • Benzin
Volkswagen Golf VI GTI *Bi-Xenon AFL*DCC*,EZ 07/2012 • 165.428 km • 155 kW (211 PS) • Benzin
Opel Astra 1.6 D Start/Stop Sports Tourer Edition,EZ 08/2019 • 156.000 km • 81 kW (110 PS) • Diesel
BMW 120d 1 Lim. 5-trg./Tempomat/SHZ/Keyless/Navi,Unfallfrei • EZ 12/2012 • 150.000 km • 135 kW (184 PS) • Diesel
Renault Megane Estate 1.3 TCe Limited Navi|1e Eig|LMV|Cr,EZ 06/2019 • 152.063 km • 85 kW (116 PS) • Benzin
Renault Scenic Bose Edition ENERGY TCe 130,Unfallfrei • EZ 11/2016 • 155.000 km • 97 kW (132 PS) • Benzin
Audi A1 S line Sportpaket,Unfallfrei • EZ 04/2014 • 160.425 km • 103 kW (140 PS) • Benzin
BMW 218i Active Tourer 1-HAND°AUT°LED°SHZG°NAVI°PANO,EZ 04/2015 • 180.000 km • 100 kW (136 PS) • Benzin
Mercedes-Benz Citan Mixto 109 CDI extralang,Unfallfrei • EZ 04/2014 • 160.000 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Trendline 1.2 Klima Scheckheftgepflegt,Unfallfrei • EZ 02/2014 • 171.500 km • 63 kW (86 PS) • Benzin
Volkswagen Golf VII Variant Cup BMT,Unfallfrei • EZ 05/2014 • 170.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Kombi 1.6 TDI Navi PDC AHK-abn SHZ Temp,Unfallfrei • EZ 11/2015 • 181.960 km • 81 kW (110 PS) • Diesel
Volkswagen Golf Plus VI Highline 2.0 TDI DSG SHZ AHK Origkm,EZ 07/2012 • 161.778 km • 103 kW (140 PS) • Diesel
Mercedes-Benz Citan Kombi 108/109/111 CDI lang + Garantie,Unfallfrei • EZ 12/2020 • 175.000 km • 59 kW (80 PS) • Diesel
Volkswagen Polo V Highline Chrom-Paket (1) l.Hand,Unfallfrei • EZ 06/2013 • 156.000 km • 66 kW (90 PS) • Benzin
BMW 218 i Active Tourer Sport Paket Navi LED PDC 8Fa,Unfallfrei • EZ 09/2014 • 170.000 km • 100 kW (136 PS) • Benzin
BMW 116i Advantage 5-trg.*SHZ*MFL*PDC*Tempomat*,EZ 06/2016 • 177.000 km • 80 kW (109 PS) • Benzin
"Peugeot Partner L1 Premium 1,6HDi - 88 kW*KLIMA*AHK*EU6",Unfallfrei • EZ 03/2018 • 156.551 km • 88 kW (120 PS) • Diesel
Mercedes-Benz B 180*Klima*6Gang*Leder*Navi*PDC*Euro5*Top*,EZ 11/2012 • 155.200 km • 90 kW (122 PS) • Benzin
Volkswagen Golf Sportsvan 1.2 TSI Highline Clima|Cam|LMV|DA,EZ 01/2016 • 178.742 km • 81 kW (110 PS) • Benzin
Volkswagen Polo VI Highline 1Hand Navi SHZ PDC Euro6,Unfallfrei • EZ 12/2018 • 179.000 km • 70 kW (95 PS) • Benzin
"Opel Mokka 1.4 T 4x4 INNOVATION SPORT / XENON, LEDER",Unfallfrei • EZ 04/2015 • 155.000 km • 103 kW (140 PS) • Benzin
Volkswagen up! cup up! Klima SHZ 5 Türig Alu,Unfallfrei • EZ 09/2014 • 159.852 km • 44 kW (60 PS) • Benzin
Opel Astra Sports Tourer Edition K 1.4-KLIMA-NAVI-AHK,EZ 04/2017 • 154.030 km • 74 kW (101 PS) • Benzin
Mercedes-Benz B 180 B -Klasse B 180 CDI Sport paket,Unfallfrei • EZ 04/2012 • 150.000 km • 80 kW (109 PS) • Diesel
Renault Kangoo Rapid Extra,Unfallfrei • EZ 06/2018 • 150.000 km • 66 kW (90 PS) • Diesel
"Opel Astra K Sports Tourer Alu 17"" Innovation Teilled",Unfallfrei • EZ 06/2018 • 150.000 km • 100 kW (136 PS) • Diesel
Kia cee'd Sportswagon 1.6 GDI Edition 7 Sportswa...,Unfallfrei • EZ 05/2018 • 152.000 km • 99 kW (135 PS) • Benzin
Ford Fiesta EcoBoost Titanium +BT+SHZ+TEL.+LED+USB+,EZ 08/2017 • 154.000 km • 74 kW (101 PS) • Benzin
Ford Fiesta EcoBoost Titanium +BT+SHZ+TEL.+LED+USB+,EZ 08/2017 • 154.000 km • 74 kW (101 PS) • Benzin
Mercedes-Benz B 180*MB Scheckheftgepflegt komplett*,Unfallfrei • EZ 04/2014 • 170.216 km • 90 kW (122 PS) • Benzin
Volkswagen Caddy Nfz Kasten/2 Tempomat/LKW Zulassung/E6/,EZ 04/2018 • 181.000 km • 75 kW (102 PS) • Diesel
Volkswagen Golf VII Lounge 1.6TDI TÜV 09.2026 Xenon Kamera,EZ 09/2015 • 181.918 km • 81 kW (110 PS) • Diesel
BMW 118i /KLIMA/PDC/HU NEU/,EZ 05/2015 • 177.230 km • 100 kW (136 PS) • Benzin
Audi A3 Sportback 1.4 TFSI*NAVI*PDC*SITZHZ.*TEMPOMAT*,EZ 10/2012 • 150.000 km • 92 kW (125 PS) • Benzin
Ford Focus Turnier S Tline Garantie bis 11.2025,Unfallfrei • EZ 04/2017 • 151.534 km • 110 kW (150 PS) • Benzin
BMW 116i*SITZHEIZUNG*NAVI*TEMPOMAT*PDC*BLUETOOTH,Unfallfrei • EZ 10/2015 • 176.600 km • 80 kW (109 PS) • Benzin
Opel Astra K Lim. 5-trg. Opel 2020 Start/Stop,Unfallfrei • EZ 09/2020 • 151.000 km • 96 kW (131 PS) • Benzin
Audi A3 Sportback attraction 1.Hand Klimaautomatik,Unfallfrei • EZ 05/2014 • 162.500 km • 110 kW (150 PS) • Diesel
"Seat Leon 2.0 TDI Start&Stop Style Navi, SHZ, Klima",Unfallfrei • EZ 11/2015 • 151.100 km • 110 kW (150 PS) • Diesel
"Volkswagen Tiguan Trend&Fun BMT,1hand,Klimatr,Sitzh,Tüv&Ser",Unfallfrei • EZ 12/2011 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Golf VI GTI,Unfallfrei • EZ 07/2011 • 160.000 km • 155 kW (211 PS) • Benzin
BMW X1 18d xDrive*Aut.*Klima*SHZ*2xPDC*Garantie*TÜV*,Unfallfrei • EZ 04/2011 • 150.000 km • 105 kW (143 PS) • Diesel
"BMW 318d Touring ""HU Neu"" ""Navi"" ""Xenon""",EZ 04/2014 • 165.000 km • 105 kW (143 PS) • Diesel
Seat Arona*Style*Klima*Multi*Bluetooth*USB*PDC*,EZ 03/2019 • 150.000 km • 70 kW (95 PS) • Diesel
Volkswagen Golf 1.4 TSI DSG BMT Comfortline/Klima/1.Hand,Unfallfrei • EZ 11/2014 • 183.000 km • 92 kW (125 PS) • Benzin
Seat Ibiza Style,Unfallfrei • EZ 08/2020 • 150.000 km • 70 kW (95 PS) • Benzin
Mercedes-Benz A 180 A -Klasse Klima 2.Hand Tüv neu Navi,EZ 05/2013 • 163.000 km • 90 kW (122 PS) • Benzin
Volkswagen up! high up! 1.0 MPI BMT Klima SHZ,Unfallfrei • EZ 10/2019 • 169.500 km • 44 kW (60 PS) • Benzin
Ford Kuga Titanium 1.6 KeyFree PDC Sitzheizung AHK,Unfallfrei • EZ 08/2014 • 154.000 km • 110 kW (150 PS) • Benzin
BMW 214 Active Tourer d LED/BT/ABLAGE/KLIMA,Unfallfrei • EZ 03/2016 • 174.000 km • 70 kW (95 PS) • Diesel
Volkswagen Scirocco 1.4 TSI 160PS *6-Gang*SHG*18ZOLL*,Reparierter Unfallschaden • EZ 03/2012 • 150.000 km • 118 kW (160 PS) • Benzin
Volkswagen Golf VII Lim. Trendline BMT,Unfallfrei • EZ 03/2016 • 190.000 km • 81 kW (110 PS) • Benzin
Volkswagen Golf VII Variant Trendline BMT/Start-Stopp,EZ 07/2020 • 189.000 km • 85 kW (116 PS) • Diesel
Mercedes-Benz E 200 T-Modell CGI **AUTOMATIK NAVI AHK **,EZ 04/2012 • 156.000 km • 135 kW (184 PS) • Benzin
Volkswagen Golf VII Lim. Comfortline BMT PDC*SHZ*KLIMA,EZ 04/2013 • 168.000 km • 77 kW (105 PS) • Benzin
Mercedes-Benz Citan Kasten 109 CDI lang *AHK*,EZ 11/2015 • 177.520 km • 66 kW (90 PS) • Diesel
Kia cee'd Sportswagon EURO 6 NETTO : 8.400 €,EZ 03/2021 • 150.000 km • 118 kW (160 PS) • Benzin
Volkswagen Caddy 1.6 TDI*Automatik*Navi*PDC*Euro5,Unfallfrei • EZ 11/2013 • 162.000 km • 75 kW (102 PS) • Diesel
Ford Focus Turnier Cool & Connect,Unfallfrei • EZ 05/2018 • 156.758 km • 110 kW (150 PS) • Benzin
Skoda Fabia Ambition/NANI/KLIMA/PDC/1-HAND!,Unfallfrei • EZ 11/2019 • 150.000 km • 55 kW (75 PS) • Benzin
Volkswagen Golf VII Variant Comfortline BMT,Unfallfrei • EZ 12/2013 • 168.650 km • 87 kW (118 PS) • Diesel
Volkswagen Golf VII Variant 1.2 TSI BMT Climatronic-EFH-ABS,Unfallfrei • EZ 04/2014 • 179.000 km • 63 kW (86 PS) • Benzin
Audi A1 Ambition Xenon+Navi+Winter+S-Line,Unfallfrei • EZ 08/2014 • 158.000 km • 66 kW (90 PS) • Diesel
Land Rover Discovery 150 Tkm. NAVI EXPORT,Unfallfrei • EZ 04/2017 • 150.000 km • 110 kW (150 PS) • Diesel
Volkswagen Golf 7 1.4 TSI BMT Highline,Unfallfrei • EZ 09/2013 • 180.000 km • 103 kW (140 PS) • Benzin
Volkswagen Caddy Kasten/Kombi Kasten EcoProfi BMT,Unfallfrei • EZ 12/2013 • 158.000 km • 75 kW (102 PS) • Diesel
Ford Fiesta Cool & Connect NAVI KLIMA 2 HAND,Unfallfrei • EZ 03/2018 • 150.000 km • 63 kW (86 PS) • Benzin
Audi A3 Sportback 1.2 TFSI Attraction Scheckheft+Navi,Unfallfrei • EZ 08/2012 • 150.000 km • 77 kW (105 PS) • Benzin
Volkswagen Polo V /Klima/SHZ/PDC/ACC/Sport,EZ 06/2014 • 155.000 km • 66 kW (90 PS) • Diesel
Volkswagen Passat 1.4 TSI Comfortline Variant/AHK/KLIMAAUTO,EZ 02/2012 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Polo Highline LED Navi Sitzheizung Einparkhilfe,EZ 01/2019 • 179.700 km • 70 kW (95 PS) • Diesel
Opel Astra K Sports Tourer*ACC*LED-SCHEINWERFER*NAVI,Unfallfrei • EZ 10/2018 • 150.641 km • 100 kW (136 PS) • Diesel
Mercedes-Benz B 180 BlueEfficiency*2-HD-EURO6-WR-ALU-PDC-NAVI*,EZ 12/2013 • 169.000 km • 90 kW (122 PS) • Benzin
Hyundai i30 cw Trend *NAVI*KAMERA*PDC*CARPLAY*SHZ*LKRHZ*,EZ 12/2017 • 160.129 km • 81 kW (110 PS) • Diesel
Hyundai ix35 1.6 GDI Klima/6 Lautsprecher/MF-Lenkrad/BC,Unfallfrei • EZ 12/2013 • 150.000 km • 99 kW (135 PS) • Benzin
Volkswagen Polo V Comfortline BMT/Start-Stopp,Unfallfrei • EZ 08/2015 • 165.000 km • 55 kW (75 PS) • Diesel
Dacia Duster II Comfort*NAVI*CAM*BT*Benzin*2X4*,Unfallfrei • EZ 06/2019 • 155.998 km • 84 kW (114 PS) • Benzin
Mercedes-Benz B 200 Automatik* Navi* Scheckheft* TÜV 2026*,EZ 02/2013 • 173.144 km • 115 kW (156 PS) • Benzin
Mercedes-Benz B 180 B -Klasse B 180 CDI/Euro5,EZ 12/2013 • 162.000 km • 80 kW (109 PS) • Diesel
Audi A3 Sportback Ambiente*Aud.Servicegepf*2Vorb*PDC,Unfallfrei • EZ 05/2012 • 162.410 km • 118 kW (160 PS) • Benzin
Ford Focus Wagon 1.0 EcoBoost Trend Edition Business,EZ 06/2020 • 153.468 km • 74 kW (101 PS) • Benzin
Volkswagen Golf VI Variant Highline,Unfallfrei • EZ 10/2011 • 155.000 km • 118 kW (160 PS) • Benzin
MINI ONE Blackyard 3-trg|1.Hand|Tüv NEU|Klima|17-Zoll,EZ 09/2020 • 151.000 km • 75 kW (102 PS) • Benzin
Volkswagen Golf VI 1.4 TSI Highline+ NAVI+PDC+SHZ+SHD+AT-Mo,EZ 07/2010 • 153.500 km • 118 kW (160 PS) • Benzin
Volkswagen Golf Sportsvan *ZAHNRIEMEN NEU*TÜV NEU*,EZ 05/2014 • 165.849 km • 81 kW (110 PS) • Diesel
"Volkswagen Golf Plus VI Life2,0 TDI 140 PS/NAVI/Tüv Neu!",Unfallfrei • EZ 11/2013 • 175.650 km • 103 kW (140 PS) • Diesel
Mercedes-Benz B 200 Edition 1*BI-XENON*TEILLEDER*STANDHZG*1.HD,EZ 09/2012 • 160.000 km • 115 kW (156 PS) • Benzin
"BMW 116i, CarPlay, StzHz, M-Sport, Kabellos, LEDTagf",Unfallfrei • EZ 06/2016 • 180.000 km • 80 kW (109 PS) • Benzin
Volkswagen Touran 1.6 TDI Cup | Climatronic | 7-Sitzer,EZ 05/2015 • 173.500 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Variant Join Start-Stopp,Unfallfrei • EZ 05/2019 • 190.000 km • 85 kW (116 PS) • Diesel
Volkswagen Touran 1.4 TSi **Navi*SHZ*AHK*Temp*Panorama**,EZ 05/2012 • 156.000 km • 103 kW (140 PS) • Benzin
Mercedes-Benz C 200 Kompressor Lim. AVANTGARDE NAVI COMAND,Unfallfrei • EZ 01/2010 • 167.000 km • 135 kW (184 PS) • Benzin
Ford C-Max Navi / PDC / Zahnriemen NEU,EZ 03/2017 • 159.000 km • 92 kW (125 PS) • Benzin
MINI COOPER Mini 3-trg. Cooper D,Unfallfrei • EZ 05/2017 • 150.325 km • 85 kW (116 PS) • Diesel
BMW 218 d Active Tourer *NAVI*TEMPOMAT*PDC*MFL*LED*,EZ 06/2015 • 170.000 km • 110 kW (150 PS) • Diesel
Volkswagen GOLF VI CABRIOLET 1.6 BMT NAVI PDC ALLWETTER TÜV,EZ 03/2015 • 173.000 km • 77 kW (105 PS) • Diesel
BMW X1 Baureihe X1 xDrive 20i 157tkm,EZ 07/2012 • 157.000 km • 135 kW (184 PS) • Benzin
BMW 118 Baureihe 1 Lim. 5-trg. 118i,EZ 05/2012 • 156.000 km • 125 kW (170 PS) • Benzin
Seat Ibiza Style|1.HD|ALU|MCB|Klima|S-Heft|Euro6Dt|,Unfallfrei • EZ 03/2020 • 153.700 km • 70 kW (95 PS) • Benzin
Volkswagen Golf VII Variant Join 1.5 TSI Navi/ACC/Alu,Unfallfrei • EZ 05/2018 • 200.000 km • 96 kW (131 PS) • Benzin
Ford Fiesta ST-Line gepflegt,EZ 05/2017 • 150.000 km • 92 kW (125 PS) • Benzin
Volkswagen Touran 1.4 16V TSI Life//Navi//,EZ 04/2013 • 161.000 km • 103 kW (140 PS) • Benzin
MINI Cooper 1.6i Countryman EURO 6b / PETROL/BENZINE,Unfallfrei • EZ 04/2016 • 150.000 km • 90 kW (122 PS) • Benzin
Volkswagen Polo V Trendline Klimaanlage,EZ 05/2015 • 159.000 km • 55 kW (75 PS) • Diesel
"BMW 316d Touring,Panorama,Navi,SHZ,MFL",Unfallfrei • EZ 06/2015 • 173.000 km • 85 kW (116 PS) • Diesel
Volkswagen Caddy 2.0 TDI Kasten 1 Hand MwSt,Unfallfrei • EZ 06/2017 • 176.000 km • 55 kW (75 PS) • Diesel
BMW 218 Active Tourer 218i klima SHZ Navi Cruise PDC,EZ 03/2016 • 180.854 km • 100 kW (136 PS) • Benzin
Citroën Grand C4 Picasso/Spacetourer Feel 7-Sitzer,EZ 04/2018 • 151.000 km • 88 kW (120 PS) • Diesel
BMW 116i Urban*6Gang*Teilleder*SHZ*PDC*St.Kette Neu*,EZ 09/2012 • 152.813 km • 100 kW (136 PS) • Benzin
Volkswagen Golf VII Lim. Highline BMT GARANTIE FINANZIERUNG,Unfallfrei • EZ 01/2013 • 181.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VI*LEDER*KLIMA*NAVI*2xPDC*START/STOPP,EZ 02/2013 • 162.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf VII Variant Cup BMT*NAVI*AHK*HU NEU*,EZ 04/2015 • 179.731 km • 81 kW (110 PS) • Diesel
Peugeot 308 SW Active,EZ 01/2017 • 151.000 km • 81 kW (110 PS) • Benzin
"Dacia Sandero Stepway 0.9 Essentiel, Navi, Kamera, Alu",EZ 03/2019 • 159.500 km • 66 kW (90 PS) • Benzin
Seat Leon 1.8 TSI DSG SC FR 1.Hand*LED*Acc*Spur*Sound,EZ 05/2014 • 153.538 km • 132 kW (179 PS) • Benzin
Volkswagen Touran Trendline BMT/NAVI/AHK/SHZ/PDC/KLIMA/,EZ 04/2014 • 166.000 km • 77 kW (105 PS) • Diesel
Volkswagen Polo V Match NAVI*SHZ*LEDER*PDC*TEMPOMAT*ALU*TOP,Unfallfrei • EZ 01/2013 • 157.500 km • 66 kW (90 PS) • Diesel
Volkswagen Golf VII Lim. Highline BMT,EZ 07/2013 • 176.000 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VII Variant 1.6 TDI BMT Comfortline,Unfallfrei • EZ 08/2014 • 172.500 km • 77 kW (105 PS) • Diesel
Volkswagen Touran Comfortline 7 Sitzer,Unfallfrei • EZ 02/2015 • 171.000 km • 77 kW (105 PS) • Diesel
Volkswagen Golf Sportsvan VII Aut. Comfortl Lounge *Kamera*,Unfallfrei • EZ 11/2015 • 186.000 km • 81 kW (110 PS) • Diesel
Opel Insignia 1.4 Sports Tourer Edition*NAVI*TEMP*PDC,EZ 04/2016 • 152.300 km • 103 kW (140 PS) • Benzin
Volkswagen Golf VI Cabrio *MATCH*LED*LEDER*PDC*KLIMAUTO*SHZ,Unfallfrei • EZ 03/2013 • 168.603 km • 90 kW (122 PS) • Benzin
Volvo V60 Kombi Business Edition Navi Scheckheft AHK,Unfallfrei • EZ 04/2015 • 153.375 km • 100 kW (136 PS) • Diesel
Volkswagen up! 1.0 SERVO EURO 6 CNG/ERDGAS KLIMA A/C,EZ 11/2017 • 170.332 km • 50 kW (68 PS) • Benzin
Ford Focus 1.5 TDCI*NAVI*KLIMA*TEMP*PDC*guter Zustand,EZ 03/2018 • 150.000 km • 88 kW (120 PS) • Diesel
Mercedes-Benz Citan 108 CDI 5-PERS. *INCL. BTW* + klima / BLUE,EZ 11/2018 • 183.078 km • 55 kW (75 PS) • Diesel
BMW X1 Baureihe X1 sDrive 18d,Unfallfrei • EZ 05/2012 • 151.000 km • 105 kW (143 PS) • Diesel
Peugeot 2008 1.2 PureTech | Active | klima | Navi | Carp,EZ 08/2018 • 153.129 km • 81 kW (110 PS) • Benzin
"Volkswagen Golf VI, Inkl. 1 Jahr Garantie, TÜV/AU Neu",EZ 02/2011 • 158.607 km • 59 kW (80 PS) • Benzin
"Volkswagen Golf Plus VI 1.6 TDI Life, AHK, Navi, Parkassist",EZ 12/2013 • 170.000 km • 77 kW (105 PS) • Diesel
"Volkswagen Golf VII Variant Comfortline ,NAVI,KLIMA,ACC,SHZ",EZ 09/2017 • 192.741 km • 85 kW (116 PS) • Diesel
"Audi A3 1.4 TFSI Ambition Sportback,Navi,Sitzh.,PDC",EZ 01/2014 • 160.000 km • 90 kW (122 PS) • Benzin
Opel Astra ST 1.6 Diesel Active 100kW 136PS NR:33520,Unfallfrei • EZ 03/2019 • 152.700 km • 100 kW (136 PS) • Diesel
BMW 116 Baureihe 1 Lim. 5-trg. 116i,EZ 10/2012 • 152.304 km • 100 kW (136 PS) • Benzin
Volkswagen Golf Sportsvan VII Comfortline //NAVI//GEPFLEGT,EZ 11/2014 • 169.828 km • 81 kW (110 PS) • Diesel
"Volkswagen Passat 1,8 TSI AHK/XENON/KLIMA/LED/2-HAND",Unfallfrei • EZ 05/2012 • 154.365 km • 118 kW (160 PS) • Benzin
Ford Focus 1.5 TDCi.Nav.AppLink.Klima.SHZ.Kame.1-Hand,EZ 03/2019 • 151.500 km • 88 kW (120 PS) • Diesel
Volkswagen Caddy Kombi Kasten EcoProfi,EZ 12/2013 • 162.136 km • 63 kW (86 PS) • Benzin
Volkswagen Caddy Nfz Kasten BMT,EZ 09/2018 • 179.500 km • 55 kW (75 PS) • Diesel
Volkswagen Polo V Match BlueMotion/BMT,Unfallfrei • EZ 10/2012 • 153.897 km • 51 kW (69 PS) • Benzin
Volkswagen Golf VII Comfortline BMT 1.6 TDI Navi Blueth. Me,Unfallfrei • EZ 01/2013 • 165.000 km • 77 kW (105 PS) • Diesel
Volkswagen T5 Transporter Kasten-Kombi Kasten lang*EURO5*,EZ 02/2015 • 160.000 km • 62 kW (84 PS) • Diesel
Fiat 500X Attracvtive *1.HAND*Keyless-Go*Alu*Navi*,Unfallfrei • EZ 01/2017 • 153.000 km • 81 kW (110 PS) • Benzin
